financial_year,state,area_of_expenditure,broad_source_of_funding,real_expenditure_millions
2000-01,WA,Capital expenditure,Government,0
2000-01,WA,Capital expenditure,Non-government,103
2000-01,WA,Community health,Government,59
2000-01,WA,Community health,Government,311
2000-01,WA,Community health,Non-government,1
2000-01,WA,Community health,Non-government,0
2000-01,WA,Dental services,Government,63
2000-01,WA,Dental services,Government,64
2000-01,WA,Dental services,Non-government,311
2000-01,WA,Dental services,Non-government,2
2000-01,WA,Dental services,Non-government,109
2000-01,WA,Medical expense tax rebate,Government,19
2000-01,WA,Medical expense tax rebate,Non-government,-19
2000-01,WA,Medical services,Government,1156
2000-01,WA,Medical services,Non-government,142
2000-01,WA,Medical services,Non-government,93
2000-01,WA,Medical services,Non-government,52
2000-01,WA,Other health practitioners,Government,75
2000-01,WA,Other health practitioners,Non-government,20
2000-01,WA,Other health practitioners,Non-government,46
2000-01,WA,Other health practitioners,Non-government,42
2000-01,WA,Patient transport services,Government,21
2000-01,WA,Patient transport services,Government,39
2000-01,WA,Patient transport services,Non-government,16
2000-01,WA,Patient transport services,Non-government,6
2000-01,WA,Patient transport services,Non-government,12
2000-01,WA,Private hospitals,Government,239
2000-01,WA,Private hospitals,Non-government,99
2000-01,WA,Private hospitals,Non-government,131
2000-01,WA,Private hospitals,Non-government,291
2000-01,WA,Public health,Government,57
2000-01,WA,Public health,Government,90
2000-01,WA,Public health,Non-government,5
2000-01,WA,Public hospitals,Government,973
2000-01,WA,Public hospitals,Government,1119
2000-01,WA,Public hospitals,Non-government,34
2000-01,WA,Public hospitals,Non-government,56
2000-01,WA,Public hospitals,Non-government,27
2000-01,WA,Research,Government,120
2000-01,WA,Research,Government,19
2000-01,WA,Research,Non-government,11
2000-01,SA,Administration,Government,124
2000-01,SA,Administration,Government,13
2000-01,SA,Administration,Non-government,73
2000-01,SA,Aids and appliances,Government,16
2000-01,SA,Aids and appliances,Non-government,120
2000-01,SA,Aids and appliances,Non-government,4
2000-01,SA,Aids and appliances,Non-government,18
2000-01,SA,All other medications,Government,9
2000-01,SA,All other medications,Non-government,251
2000-01,SA,All other medications,Non-government,3
2000-01,SA,All other medications,Non-government,3
2000-01,SA,Benefit-paid pharmaceuticals,Government,378
2000-01,SA,Benefit-paid pharmaceuticals,Non-government,64
2000-01,SA,Capital expenditure,Government,11
2000-01,SA,Capital expenditure,Government,0
2000-01,SA,Capital expenditure,Non-government,83
2000-01,SA,Community health,Government,23
2000-01,SA,Community health,Government,243
2000-01,SA,Community health,Non-government,0
2000-01,SA,Community health,Non-government,0
2000-01,SA,Dental services,Government,44
2000-01,SA,Dental services,Government,49
2000-01,SA,Dental services,Non-government,127
2000-01,SA,Dental services,Non-government,1
2000-01,SA,Dental services,Non-government,71
2000-01,SA,Medical expense tax rebate,Government,13
2000-01,SA,Medical expense tax rebate,Non-government,-13
2000-01,SA,Medical services,Government,969
2000-01,SA,Medical services,Non-government,93
2000-01,SA,Medical services,Non-government,90
2000-01,SA,Medical services,Non-government,50
2000-01,SA,Other health practitioners,Government,66
2000-01,SA,Other health practitioners,Non-government,22
2000-01,SA,Other health practitioners,Non-government,30
2000-01,SA,Other health practitioners,Non-government,40
2000-01,SA,Patient transport services,Government,12
2000-01,SA,Patient transport services,Government,53
2000-01,SA,Patient transport services,Non-government,33
2000-01,SA,Patient transport services,Non-government,8
2000-01,SA,Patient transport services,Non-government,2
2000-01,SA,Private hospitals,Government,172
2000-01,SA,Private hospitals,Non-government,6
2000-01,SA,Private hospitals,Non-government,34
2000-01,SA,Private hospitals,Non-government,257
2000-01,SA,Public health,Government,49
2000-01,SA,Public health,Government,79
2000-01,SA,Public health,Non-government,5
2000-01,SA,Public hospitals,Government,948
2000-01,SA,Public hospitals,Government,852
2000-01,SA,Public hospitals,Non-government,18
2000-01,SA,Public hospitals,Non-government,17
2000-01,SA,Public hospitals,Non-government,23
2000-01,SA,Research,Government,137
2000-01,SA,Research,Government,20
2000-01,SA,Research,Non-government,7
2000-01,TAS,Administration,Government,40
2000-01,TAS,Administration,Government,24
2000-01,TAS,Administration,Non-government,22
2000-01,TAS,Aids and appliances,Government,5
2000-01,TAS,Aids and appliances,Non-government,52
2000-01,TAS,Aids and appliances,Non-government,2
2000-01,TAS,Aids and appliances,Non-government,6
2000-01,TAS,All other medications,Government,4
2000-01,TAS,All other medications,Non-government,66
2000-01,TAS,All other medications,Non-government,2
2000-01,TAS,All other medications,Non-government,1
2000-01,TAS,Benefit-paid pharmaceuticals,Government,121
2000-01,TAS,Benefit-paid pharmaceuticals,Non-government,20
2000-01,TAS,Capital expenditure,Government,5
2000-01,TAS,Capital expenditure,Government,0
2000-01,TAS,Capital expenditure,Non-government,22
2000-01,TAS,Community health,Government,10
2000-01,TAS,Community health,Government,136
2000-01,TAS,Community health,Non-government,1
2000-01,TAS,Community health,Non-government,0
2000-01,TAS,Dental services,Government,10
2000-01,TAS,Dental services,Government,14
2000-01,TAS,Dental services,Non-government,47
2000-01,TAS,Dental services,Non-government,1
2000-01,TAS,Dental services,Non-government,17
2000-01,TAS,Medical expense tax rebate,Government,3
2000-01,TAS,Medical expense tax rebate,Non-government,-3
2000-01,TAS,Medical services,Government,283
2000-01,TAS,Medical services,Non-government,39
2000-01,TAS,Medical services,Non-government,26
2000-01,TAS,Medical services,Non-government,9
2000-01,TAS,Other health practitioners,Government,20
2000-01,TAS,Other health practitioners,Non-government,16
2000-01,TAS,Other health practitioners,Non-government,17
2000-01,TAS,Other health practitioners,Non-government,7
2000-01,TAS,Patient transport services,Government,3
2000-01,TAS,Patient transport services,Government,30
2000-01,TAS,Patient transport services,Non-government,0
2000-01,TAS,Patient transport services,Non-government,1
2000-01,TAS,Patient transport services,Non-government,0
2000-01,TAS,Private hospitals,Government,71
2000-01,TAS,Private hospitals,Non-government,29
2000-01,TAS,Private hospitals,Non-government,18
2000-01,TAS,Private hospitals,Non-government,83
2000-01,TAS,Public health,Government,21
2000-01,TAS,Public health,Government,25
2000-01,TAS,Public health,Non-government,2
2000-01,TAS,Public hospitals,Government,226
2000-01,TAS,Public hospitals,Government,232
2000-01,TAS,Public hospitals,Non-government,9
2000-01,TAS,Public hospitals,Non-government,26
2000-01,TAS,Public hospitals,Non-government,6
2000-01,TAS,Research,Government,30
2000-01,TAS,Research,Government,6
2000-01,TAS,Research,Non-government,1
2000-01,ACT,Administration,Government,65
2000-01,ACT,Administration,Government,21
2000-01,ACT,Administration,Non-government,4
2000-01,ACT,Aids and appliances,Government,2
2000-01,ACT,Aids and appliances,Non-government,14
2000-01,ACT,Aids and appliances,Non-government,0
2000-01,ACT,Aids and appliances,Non-government,1
2000-01,ACT,All other medications,Government,2
2000-01,ACT,All other medications,Non-government,41
2000-01,ACT,All other medications,Non-government,1
2000-01,ACT,All other medications,Non-government,0
2000-01,ACT,Benefit-paid pharmaceuticals,Government,55
2000-01,ACT,Benefit-paid pharmaceuticals,Non-government,13
2000-01,ACT,Capital expenditure,Government,3
2000-01,ACT,Capital expenditure,Government,0
2000-01,ACT,Capital expenditure,Non-government,42
2000-01,ACT,Community health,Government,4
2000-01,ACT,Community health,Government,82
2000-01,ACT,Community health,Non-government,1
2000-01,ACT,Community health,Non-government,0
2000-01,ACT,Dental services,Government,5
2000-01,ACT,Dental services,Government,6
2000-01,ACT,Dental services,Non-government,69
2000-01,ACT,Dental services,Non-government,0
2000-01,ACT,Dental services,Non-government,8
2000-01,ACT,Medical expense tax rebate,Government,8
2000-01,ACT,Medical expense tax rebate,Non-government,-8
2000-01,ACT,Medical services,Government,200
2000-01,ACT,Medical services,Non-government,55
2000-01,ACT,Medical services,Non-government,9
2000-01,ACT,Medical services,Non-government,1
2000-01,ACT,Other health practitioners,Government,18
2000-01,ACT,Other health practitioners,Non-government,21
2000-01,ACT,Other health practitioners,Non-government,10
2000-01,ACT,Other health practitioners,Non-government,2
2000-01,ACT,Patient transport services,Government,3
2000-01,ACT,Patient transport services,Government,4
2000-01,ACT,Patient transport services,Non-government,0
2000-01,ACT,Patient transport services,Non-government,1
2000-01,ACT,Patient transport services,Non-government,6
2000-01,ACT,Private hospitals,Government,19
2000-01,ACT,Private hospitals,Non-government,15
2000-01,ACT,Private hospitals,Non-government,10
2000-01,ACT,Private hospitals,Non-government,60
2000-01,ACT,Public health,Government,14
2000-01,ACT,Public health,Government,28
2000-01,ACT,Public health,Non-government,3
2000-01,ACT,Public hospitals,Government,145
2000-01,ACT,Public hospitals,Government,213
2000-01,ACT,Public hospitals,Non-government,9
2000-01,ACT,Public hospitals,Non-government,13
2000-01,ACT,Public hospitals,Non-government,10
2000-01,ACT,Research,Government,96
2000-01,ACT,Research,Government,16
2000-01,ACT,Research,Non-government,5
2000-01,NT,Administration,Government,25
2000-01,NT,Administration,Government,46
2000-01,NT,Administration,Non-government,5
2000-01,NT,Aids and appliances,Government,2
2000-01,NT,Aids and appliances,Non-government,11
2000-01,NT,Aids and appliances,Non-government,3
2000-01,NT,Aids and appliances,Non-government,1
2000-01,NT,All other medications,Government,2
2000-01,NT,All other medications,Non-government,17
2000-01,NT,All other medications,Non-government,1
2000-01,NT,All other medications,Non-government,0
2000-01,NT,Benefit-paid pharmaceuticals,Government,14
2000-01,NT,Benefit-paid pharmaceuticals,Non-government,4
2000-01,NT,Capital expenditure,Government,4
2000-01,NT,Capital expenditure,Government,1
2000-01,NT,Capital expenditure,Non-government,7
2000-01,NT,Community health,Government,54
2000-01,NT,Community health,Government,137
2000-01,NT,Community health,Non-government,0
2000-01,NT,Community health,Non-government,0
2000-01,NT,Dental services,Government,2
2000-01,NT,Dental services,Government,9
2000-01,NT,Dental services,Non-government,30
2000-01,NT,Dental services,Non-government,0
2000-01,NT,Dental services,Non-government,4
2000-01,NT,Medical expense tax rebate,Government,1
2000-01,NT,Medical expense tax rebate,Non-government,-1
2000-01,NT,Medical services,Government,64
2000-01,NT,Medical services,Non-government,10
2000-01,NT,Medical services,Non-government,8
2000-01,NT,Medical services,Non-government,2
2000-01,NT,Other health practitioners,Government,6
2000-01,NT,Other health practitioners,Non-government,12
2000-01,NT,Other health practitioners,Non-government,3
2000-01,NT,Other health practitioners,Non-government,2
2000-01,NT,Patient transport services,Government,2
2000-01,NT,Patient transport services,Government,27
2000-01,NT,Patient transport services,Non-government,1
2000-01,NT,Patient transport services,Non-government,1
2000-01,NT,Patient transport services,Non-government,0
2000-01,NT,Private hospitals,Government,7
2000-01,NT,Private hospitals,Non-government,8
2000-01,NT,Private hospitals,Non-government,5
2000-01,NT,Private hospitals,Non-government,13
2000-01,NT,Public health,Government,14
2000-01,NT,Public health,Government,47
2000-01,NT,Public health,Non-government,3
2000-01,NT,Public hospitals,Government,103
2000-01,NT,Public hospitals,Government,165
2000-01,NT,Public hospitals,Non-government,12
2000-01,NT,Public hospitals,Non-government,15
2000-01,NT,Public hospitals,Non-government,1
2000-01,NT,Research,Government,13
2000-01,NT,Research,Government,4
2000-01,NT,Research,Non-government,1
2001-02,NSW,Administration,Government,449
2001-02,NSW,Administration,Government,14
2001-02,NSW,Administration,Non-government,285
2001-02,NSW,Aids and appliances,Government,76
2001-02,NSW,Aids and appliances,Government,17
2001-02,NSW,Aids and appliances,Non-government,347
2001-02,NSW,Aids and appliances,Non-government,27
2001-02,NSW,Aids and appliances,Non-government,95
2001-02,NSW,All other medications,Government,27
2001-02,NSW,All other medications,Non-government,1058
2001-02,NSW,All other medications,Non-government,46
2001-02,NSW,All other medications,Non-government,21
2001-02,NSW,Benefit-paid pharmaceuticals,Government,1689
2001-02,NSW,Benefit-paid pharmaceuticals,Non-government,301
2001-02,NSW,Capital expenditure,Government,20
2001-02,NSW,Capital expenditure,Government,516
2001-02,NSW,Capital expenditure,Non-government,458
2001-02,NSW,Community health,Government,84
2001-02,NSW,Community health,Government,1355
2001-02,NSW,Community health,Non-government,5
2001-02,NSW,Community health,Non-government,0
2001-02,NSW,Dental services,Government,182
2001-02,NSW,Dental services,Government,111
2001-02,NSW,Dental services,Non-government,1259
2001-02,NSW,Dental services,Non-government,7
2001-02,NSW,Dental services,Non-government,356
2001-02,NSW,Medical expense tax rebate,Government,125
2001-02,NSW,Medical expense tax rebate,Non-government,-125
2001-02,NSW,Medical services,Government,4632
2001-02,NSW,Medical services,Non-government,658
2001-02,NSW,Medical services,Non-government,451
2001-02,NSW,Medical services,Non-government,163
2001-02,NSW,Other health practitioners,Government,267
2001-02,NSW,Other health practitioners,Non-government,496
2001-02,NSW,Other health practitioners,Non-government,145
2001-02,NSW,Other health practitioners,Non-government,142
2001-02,NSW,Patient transport services,Government,65
2001-02,NSW,Patient transport services,Government,228
2001-02,NSW,Patient transport services,Non-government,17
2001-02,NSW,Patient transport services,Non-government,26
2001-02,NSW,Patient transport services,Non-government,88
2001-02,NSW,Private hospitals,Government,689
2001-02,NSW,Private hospitals,Non-government,44
2001-02,NSW,Private hospitals,Non-government,214
2001-02,NSW,Private hospitals,Non-government,970
2001-02,NSW,Public health,Government,263
2001-02,NSW,Public health,Government,184
2001-02,NSW,Public health,Non-government,26
2001-02,NSW,Public hospitals,Government,3804
2001-02,NSW,Public hospitals,Government,3862
2001-02,NSW,Public hospitals,Non-government,252
2001-02,NSW,Public hospitals,Non-government,363
2001-02,NSW,Public hospitals,Non-government,196
2001-02,NSW,Research,Government,391
2001-02,NSW,Research,Government,58
2001-02,NSW,Research,Non-government,45
2001-02,VIC,Administration,Government,302
2001-02,VIC,Administration,Government,1
2001-02,VIC,Administration,Non-government,201
2001-02,VIC,Aids and appliances,Government,43
2001-02,VIC,Aids and appliances,Government,23
2001-02,VIC,Aids and appliances,Non-government,453
2001-02,VIC,Aids and appliances,Non-government,12
2001-02,VIC,Aids and appliances,Non-government,39
2001-02,VIC,All other medications,Government,16
2001-02,VIC,All other medications,Non-government,892
2001-02,VIC,All other medications,Non-government,21
2001-02,VIC,All other medications,Non-government,5
2001-02,VIC,Benefit-paid pharmaceuticals,Government,1182
2001-02,VIC,Benefit-paid pharmaceuticals,Non-government,212
2001-02,VIC,Capital expenditure,Government,18
2001-02,VIC,Capital expenditure,Government,367
2001-02,VIC,Capital expenditure,Non-government,680
2001-02,VIC,Community health,Government,25
2001-02,VIC,Community health,Government,784
2001-02,VIC,Community health,Non-government,4
2001-02,VIC,Community health,Non-government,0
2001-02,VIC,Dental services,Government,85
2001-02,VIC,Dental services,Government,135
2001-02,VIC,Dental services,Non-government,1311
2001-02,VIC,Dental services,Non-government,3
2001-02,VIC,Dental services,Non-government,156
2001-02,VIC,Medical expense tax rebate,Government,76
2001-02,VIC,Medical expense tax rebate,Non-government,-76
2001-02,VIC,Medical services,Government,3172
2001-02,VIC,Medical services,Non-government,395
2001-02,VIC,Medical services,Non-government,158
2001-02,VIC,Medical services,Non-government,164
2001-02,VIC,Other health practitioners,Government,176
2001-02,VIC,Other health practitioners,Non-government,566
2001-02,VIC,Other health practitioners,Non-government,80
2001-02,VIC,Other health practitioners,Non-government,77
2001-02,VIC,Patient transport services,Government,21
2001-02,VIC,Patient transport services,Government,142
2001-02,VIC,Patient transport services,Non-government,93
2001-02,VIC,Patient transport services,Non-government,26
2001-02,VIC,Patient transport services,Non-government,4
2001-02,VIC,Private hospitals,Government,582
2001-02,VIC,Private hospitals,Non-government,114
2001-02,VIC,Private hospitals,Non-government,179
2001-02,VIC,Private hospitals,Non-government,862
2001-02,VIC,Public health,Government,171
2001-02,VIC,Public health,Government,175
2001-02,VIC,Public health,Non-government,17
2001-02,VIC,Public hospitals,Government,2595
2001-02,VIC,Public hospitals,Government,2918
2001-02,VIC,Public hospitals,Non-government,169
2001-02,VIC,Public hospitals,Non-government,391
2001-02,VIC,Public hospitals,Non-government,73
2001-02,VIC,Research,Government,448
2001-02,VIC,Research,Government,129
2001-02,VIC,Research,Non-government,68
2001-02,QLD,Administration,Government,251
2001-02,QLD,Administration,Government,98
2001-02,QLD,Administration,Non-government,145
2001-02,QLD,Aids and appliances,Government,40
2001-02,QLD,Aids and appliances,Government,0
2001-02,QLD,Aids and appliances,Non-government,273
2001-02,QLD,Aids and appliances,Non-government,2
2001-02,QLD,Aids and appliances,Non-government,46
2001-02,QLD,All other medications,Government,16
2001-02,QLD,All other medications,Non-government,602
2001-02,QLD,All other medications,Non-government,4
2001-02,QLD,All other medications,Non-government,9
2001-02,QLD,Benefit-paid pharmaceuticals,Government,863
2001-02,QLD,Benefit-paid pharmaceuticals,Non-government,155
2001-02,QLD,Capital expenditure,Government,14
2001-02,QLD,Capital expenditure,Government,548
2001-02,QLD,Capital expenditure,Non-government,775
2001-02,QLD,Community health,Government,89
2001-02,QLD,Community health,Government,1027
2001-02,QLD,Community health,Non-government,1
2001-02,QLD,Community health,Non-government,0
2001-02,QLD,Dental services,Government,96
2001-02,QLD,Dental services,Government,156
2001-02,QLD,Dental services,Non-government,364
2001-02,QLD,Dental services,Non-government,3
2001-02,QLD,Dental services,Non-government,174
2001-02,QLD,Medical expense tax rebate,Government,45
2001-02,QLD,Medical expense tax rebate,Non-government,-45
2001-02,QLD,Medical services,Government,2327
2001-02,QLD,Medical services,Non-government,318
2001-02,QLD,Medical services,Non-government,82
2001-02,QLD,Medical services,Non-government,118
2001-02,QLD,Other health practitioners,Government,153
2001-02,QLD,Other health practitioners,Non-government,271
2001-02,QLD,Other health practitioners,Non-government,37
2001-02,QLD,Other health practitioners,Non-government,78
2001-02,QLD,Patient transport services,Government,28
2001-02,QLD,Patient transport services,Government,250
2001-02,QLD,Patient transport services,Non-government,92
2001-02,QLD,Patient transport services,Non-government,11
2001-02,QLD,Patient transport services,Non-government,6
2001-02,QLD,Private hospitals,Government,624
2001-02,QLD,Private hospitals,Non-government,108
2001-02,QLD,Private hospitals,Non-government,121
2001-02,QLD,Private hospitals,Non-government,709
2001-02,QLD,Public health,Government,136
2001-02,QLD,Public health,Government,115
2001-02,QLD,Public health,Non-government,15
2001-02,QLD,Public hospitals,Government,1956
2001-02,QLD,Public hospitals,Government,1914
2001-02,QLD,Public hospitals,Non-government,30
2001-02,QLD,Public hospitals,Non-government,91
2001-02,QLD,Public hospitals,Non-government,33
2001-02,QLD,Research,Government,191
2001-02,QLD,Research,Government,27
2001-02,QLD,Research,Non-government,16
2001-02,WA,Administration,Government,132
2001-02,WA,Administration,Government,129
2001-02,WA,Administration,Non-government,80
2001-02,WA,Aids and appliances,Government,22
2001-02,WA,Aids and appliances,Non-government,200
2001-02,WA,Aids and appliances,Non-government,5
2001-02,WA,Aids and appliances,Non-government,28
2001-02,WA,All other medications,Government,8
2001-02,WA,All other medications,Non-government,386
2001-02,WA,All other medications,Non-government,8
2001-02,WA,All other medications,Non-government,5
2001-02,WA,Benefit-paid pharmaceuticals,Government,408
2001-02,WA,Benefit-paid pharmaceuticals,Non-government,78
2001-02,WA,Capital expenditure,Government,10
2001-02,WA,Capital expenditure,Government,105
2001-02,WA,Capital expenditure,Non-government,240
2001-02,WA,Community health,Government,62
2001-02,WA,Community health,Government,181
2001-02,WA,Community health,Non-government,1
2001-02,WA,Community health,Non-government,0
2001-02,WA,Dental services,Government,60
2001-02,WA,Dental services,Government,64
2001-02,WA,Dental services,Non-government,365
2001-02,WA,Dental services,Non-government,1
2001-02,WA,Dental services,Non-government,121
2001-02,WA,Medical expense tax rebate,Government,22
2001-02,WA,Medical expense tax rebate,Non-government,-22
2001-02,WA,Medical services,Government,1192
2001-02,WA,Medical services,Non-government,152
2001-02,WA,Medical services,Non-government,77
2001-02,WA,Medical services,Non-government,68
2001-02,WA,Other health practitioners,Government,77
2001-02,WA,Other health practitioners,Non-government,46
2001-02,WA,Other health practitioners,Non-government,37
2001-02,WA,Other health practitioners,Non-government,49
2001-02,WA,Patient transport services,Government,20
2001-02,WA,Patient transport services,Government,14
2001-02,WA,Patient transport services,Non-government,47
2001-02,WA,Patient transport services,Non-government,6
2001-02,WA,Patient transport services,Non-government,14
2001-02,WA,Private hospitals,Government,247
2001-02,WA,Private hospitals,Non-government,87
2001-02,WA,Private hospitals,Non-government,71
2001-02,WA,Private hospitals,Non-government,363
2001-02,WA,Public health,Government,73
2001-02,WA,Public health,Government,84
2001-02,WA,Public health,Non-government,6
2001-02,WA,Public hospitals,Government,1067
2001-02,WA,Public hospitals,Government,1115
2001-02,WA,Public hospitals,Non-government,17
2001-02,WA,Public hospitals,Non-government,76
2001-02,WA,Public hospitals,Non-government,31
2001-02,WA,Research,Government,123
2001-02,WA,Research,Government,18
2001-02,WA,Research,Non-government,13
2001-02,SA,Administration,Government,117
2001-02,SA,Administration,Government,45
2001-02,SA,Administration,Non-government,80
2001-02,SA,Aids and appliances,Government,18
2001-02,SA,Aids and appliances,Non-government,124
2001-02,SA,Aids and appliances,Non-government,5
2001-02,SA,Aids and appliances,Non-government,22
2001-02,SA,All other medications,Government,7
2001-02,SA,All other medications,Non-government,288
2001-02,SA,All other medications,Non-government,4
2001-02,SA,All other medications,Non-government,3
2001-02,SA,Benefit-paid pharmaceuticals,Government,399
2001-02,SA,Benefit-paid pharmaceuticals,Non-government,69
2001-02,SA,Capital expenditure,Government,10
2001-02,SA,Capital expenditure,Government,112
2001-02,SA,Capital expenditure,Non-government,175
2001-02,SA,Community health,Government,25
2001-02,SA,Community health,Government,155
2001-02,SA,Community health,Non-government,0
2001-02,SA,Community health,Non-government,0
2001-02,SA,Dental services,Government,46
2001-02,SA,Dental services,Government,52
2001-02,SA,Dental services,Non-government,140
2001-02,SA,Dental services,Non-government,1
2001-02,SA,Dental services,Non-government,89
2001-02,SA,Medical expense tax rebate,Government,15
2001-02,SA,Medical expense tax rebate,Non-government,-15
2001-02,SA,Medical services,Government,982
2001-02,SA,Medical services,Non-government,96
2001-02,SA,Medical services,Non-government,95
2001-02,SA,Medical services,Non-government,63
2001-02,SA,Other health practitioners,Government,66
2001-02,SA,Other health practitioners,Non-government,37
2001-02,SA,Other health practitioners,Non-government,29
2001-02,SA,Other health practitioners,Non-government,48
2001-02,SA,Patient transport services,Government,13
2001-02,SA,Patient transport services,Government,56
2001-02,SA,Patient transport services,Non-government,26
2001-02,SA,Patient transport services,Non-government,8
2001-02,SA,Patient transport services,Non-government,2
2001-02,SA,Private hospitals,Government,179
2001-02,SA,Private hospitals,Non-government,5
2001-02,SA,Private hospitals,Non-government,27
2001-02,SA,Private hospitals,Non-government,305
2001-02,SA,Public health,Government,70
2001-02,SA,Public health,Government,61
2001-02,SA,Public health,Non-government,6
2001-02,SA,Public hospitals,Government,953
2001-02,SA,Public hospitals,Government,906
2001-02,SA,Public hospitals,Non-government,7
2001-02,SA,Public hospitals,Non-government,30
2001-02,SA,Public hospitals,Non-government,31
2001-02,SA,Research,Government,136
2001-02,SA,Research,Government,17
2001-02,SA,Research,Non-government,8
2001-02,TAS,Administration,Government,40
2001-02,TAS,Administration,Government,78
2001-02,TAS,Administration,Non-government,21
2001-02,TAS,Aids and appliances,Government,6
2001-02,TAS,Aids and appliances,Non-government,32
2001-02,TAS,Aids and appliances,Non-government,2
2001-02,TAS,Aids and appliances,Non-government,8
2001-02,TAS,All other medications,Government,4
2001-02,TAS,All other medications,Non-government,82
2001-02,TAS,All other medications,Non-government,2
2001-02,TAS,All other medications,Non-government,2
2001-02,TAS,Benefit-paid pharmaceuticals,Government,132
2001-02,TAS,Benefit-paid pharmaceuticals,Non-government,22
2001-02,TAS,Capital expenditure,Government,5
2001-02,TAS,Capital expenditure,Government,17
2001-02,TAS,Capital expenditure,Non-government,24
2001-02,TAS,Community health,Government,11
2001-02,TAS,Community health,Government,270
2001-02,TAS,Community health,Non-government,1
2001-02,TAS,Community health,Non-government,0
2001-02,TAS,Dental services,Government,11
2001-02,TAS,Dental services,Government,14
2001-02,TAS,Dental services,Non-government,52
2001-02,TAS,Dental services,Non-government,0
2001-02,TAS,Dental services,Non-government,22
2001-02,TAS,Medical expense tax rebate,Government,4
2001-02,TAS,Medical expense tax rebate,Non-government,-4
2001-02,TAS,Medical services,Government,303
2001-02,TAS,Medical services,Non-government,41
2001-02,TAS,Medical services,Non-government,24
2001-02,TAS,Medical services,Non-government,14
2001-02,TAS,Other health practitioners,Government,21
2001-02,TAS,Other health practitioners,Non-government,26
2001-02,TAS,Other health practitioners,Non-government,14
2001-02,TAS,Other health practitioners,Non-government,9
2001-02,TAS,Patient transport services,Government,3
2001-02,TAS,Patient transport services,Government,35
2001-02,TAS,Patient transport services,Non-government,0
2001-02,TAS,Patient transport services,Non-government,2
2001-02,TAS,Patient transport services,Non-government,0
2001-02,TAS,Private hospitals,Government,70
2001-02,TAS,Private hospitals,Non-government,12
2001-02,TAS,Private hospitals,Non-government,20
2001-02,TAS,Private hospitals,Non-government,94
2001-02,TAS,Public health,Government,28
2001-02,TAS,Public health,Government,20
2001-02,TAS,Public health,Non-government,2
2001-02,TAS,Public hospitals,Government,235
2001-02,TAS,Public hospitals,Government,232
2001-02,TAS,Public hospitals,Non-government,23
2001-02,TAS,Public hospitals,Non-government,27
2001-02,TAS,Public hospitals,Non-government,9
2001-02,TAS,Research,Government,21
2001-02,TAS,Research,Government,6
2001-02,TAS,Research,Non-government,1
2001-02,ACT,Administration,Government,77
2001-02,ACT,Administration,Government,0
2001-02,ACT,Administration,Non-government,12
2001-02,ACT,Aids and appliances,Government,4
2001-02,ACT,Aids and appliances,Government,10
2001-02,ACT,Aids and appliances,Non-government,17
2001-02,ACT,Aids and appliances,Non-government,0
2001-02,ACT,Aids and appliances,Non-government,4
2001-02,ACT,All other medications,Government,2
2001-02,ACT,All other medications,Non-government,40
2001-02,ACT,All other medications,Non-government,1
2001-02,ACT,All other medications,Non-government,1
2001-02,ACT,Benefit-paid pharmaceuticals,Government,61
2001-02,ACT,Benefit-paid pharmaceuticals,Non-government,14
2001-02,ACT,Capital expenditure,Government,2
2001-02,ACT,Capital expenditure,Government,26
2001-02,ACT,Capital expenditure,Non-government,13
2001-02,ACT,Community health,Government,3
2001-02,ACT,Community health,Government,111
2001-02,ACT,Community health,Non-government,1
2001-02,ACT,Community health,Non-government,0
2001-02,ACT,Dental services,Government,10
2001-02,ACT,Dental services,Government,10
2001-02,ACT,Dental services,Non-government,65
2001-02,ACT,Dental services,Non-government,0
2001-02,ACT,Dental services,Non-government,20
2001-02,ACT,Medical expense tax rebate,Government,9
2001-02,ACT,Medical expense tax rebate,Non-government,-9
2001-02,ACT,Medical services,Government,191
2001-02,ACT,Medical services,Non-government,49
2001-02,ACT,Medical services,Non-government,11
2001-02,ACT,Medical services,Non-government,6
2001-02,ACT,Other health practitioners,Government,16
2001-02,ACT,Other health practitioners,Non-government,33
2001-02,ACT,Other health practitioners,Non-government,9
2001-02,ACT,Other health practitioners,Non-government,6
2001-02,ACT,Patient transport services,Government,4
2001-02,ACT,Patient transport services,Government,1
2001-02,ACT,Patient transport services,Non-government,1
2001-02,ACT,Patient transport services,Non-government,1
2001-02,ACT,Patient transport services,Non-government,9
2001-02,ACT,Private hospitals,Government,31
2001-02,ACT,Private hospitals,Non-government,23
2001-02,ACT,Private hospitals,Non-government,11
2001-02,ACT,Private hospitals,Non-government,40
2001-02,ACT,Public health,Government,19
2001-02,ACT,Public health,Government,23
2001-02,ACT,Public health,Non-government,4
2001-02,ACT,Public hospitals,Government,145
2001-02,ACT,Public hospitals,Government,259
2001-02,ACT,Public hospitals,Non-government,11
2001-02,ACT,Public hospitals,Non-government,17
2001-02,ACT,Public hospitals,Non-government,6
2001-02,ACT,Research,Government,109
2001-02,ACT,Research,Government,16
2001-02,ACT,Research,Non-government,6
2001-02,NT,Administration,Government,20
2001-02,NT,Administration,Government,0
2001-02,NT,Administration,Non-government,5
2001-02,NT,Aids and appliances,Government,2
2001-02,NT,Aids and appliances,Non-government,8
2001-02,NT,Aids and appliances,Non-government,3
2001-02,NT,Aids and appliances,Non-government,2
2001-02,NT,All other medications,Government,2
