financial_year,state,area_of_expenditure,broad_source_of_funding,real_expenditure_millions
1999,NT,All other medications,Other,0
1999,NT,Benefit,Government,12
1999,NT,Benefit,Other,3
1999,NT,Capital expenditure,Government,0
1999,NT,Capital expenditure,Government,9
1999,NT,Capital expenditure,Other,3
1999,NT,Community health,Government,45
1999,NT,Community health,Government,126
1999,NT,Community health,Other,0
1999,NT,Community health,Other,0
1999,NT,Dental services,Government,1
1999,NT,Dental services,Government,0
1999,NT,Dental services,Other,24
1999,NT,Dental services,Other,0
1999,NT,Dental services,Other,3
1999,NT,Medical expense tax rebate,Government,1
1999,NT,Medical expense tax rebate,Other,
1999,NT,Medical services,Government,61
1999,NT,Medical services,Other,10
1999,NT,Medical services,Other,9
1999,NT,Medical services,Other,2
1999,NT,Other health practitioners,Government,3
1999,NT,Other health practitioners,Other,13
1999,NT,Other health practitioners,Other,3
1999,NT,Other health practitioners,Other,1
1999,NT,Patient transport services,Government,2
1999,NT,Patient transport services,Government,16
1999,NT,Patient transport services,Other,1
1999,NT,Patient transport services,Other,1
1999,NT,Patient transport services,Other,0
1999,NT,Private hospitals,Government,6
1999,NT,Private hospitals,Other,7
1999,NT,Private hospitals,Other,5
1999,NT,Private hospitals,Other,12
1999,NT,Public health,Government,14
1999,NT,Public health,Government,50
1999,NT,Public health,Other,1
1999,NT,Public hospitals,Government,100
1999,NT,Public hospitals,Government,159
1999,NT,Public hospitals,Other,10
1999,NT,Public hospitals,Other,16
1999,NT,Public hospitals,Other,1
1999,NT,Research,Government,8
1999,NT,Research,Government,3
1999,NT,Research,Other,1
2000,NSW,Administration,Government,485
2000,NSW,Administration,Government,91
2000,NSW,Administration,Other,312
2000,NSW,Aids and appliances,Government,71
2000,NSW,Aids and appliances,Other,610
2000,NSW,Aids and appliances,Other,21
2000,NSW,Aids and appliances,Other,78
2000,NSW,All other medications,Government,37
2000,NSW,All other medications,Other,895
2000,NSW,All other medications,Other,36
2000,NSW,All other medications,Other,17
2000,NSW,Benefit,Government,1557
2000,NSW,Benefit,Other,279
2000,NSW,Capital expenditure,Government,34
2000,NSW,Capital expenditure,Government,501
2000,NSW,Capital expenditure,Other,663
2000,NSW,Community health,Government,92
2000,NSW,Community health,Government,1148
2000,NSW,Community health,Other,4
2000,NSW,Community health,Other,0
2000,NSW,Dental services,Government,177
2000,NSW,Dental services,Government,107
2000,NSW,Dental services,Other,1102
2000,NSW,Dental services,Other,5
2000,NSW,Dental services,Other,292
2000,NSW,Medical expense tax rebate,Government,109
2000,NSW,Medical expense tax rebate,Other,
2000,NSW,Medical services,Government,4486
2000,NSW,Medical services,Other,597
2000,NSW,Medical services,Other,362
2000,NSW,Medical services,Other,119
2000,NSW,Other health practitioners,Government,268
2000,NSW,Other health practitioners,Other,440
2000,NSW,Other health practitioners,Other,141
2000,NSW,Other health practitioners,Other,117
2000,NSW,Patient transport services,Government,68
2000,NSW,Patient transport services,Government,168
2000,NSW,Patient transport services,Other,18
2000,NSW,Patient transport services,Other,23
2000,NSW,Patient transport services,Other,83
2000,NSW,Private hospitals,Government,684
2000,NSW,Private hospitals,Other,112
2000,NSW,Private hospitals,Other,184
2000,NSW,Private hospitals,Other,790
2000,NSW,Public health,Government,202
2000,NSW,Public health,Government,219
2000,NSW,Public health,Other,22
2000,NSW,Public hospitals,Government,3704
2000,NSW,Public hospitals,Government,3772
2000,NSW,Public hospitals,Other,265
2000,NSW,Public hospitals,Other,328
2000,NSW,Public hospitals,Other,153
2000,NSW,Research,Government,358
2000,NSW,Research,Government,63
2000,NSW,Research,Other,38
2000,VIC,Administration,Government,318
2000,VIC,Administration,Government,68
2000,VIC,Administration,Other,203
2000,VIC,Aids and appliances,Government,38
2000,VIC,Aids and appliances,Other,574
2000,VIC,Aids and appliances,Other,11
2000,VIC,Aids and appliances,Other,29
2000,VIC,All other medications,Government,22
2000,VIC,All other medications,Other,791
2000,VIC,All other medications,Other,21
2000,VIC,All other medications,Other,4
2000,VIC,Benefit,Government,1115
2000,VIC,Benefit,Other,195
2000,VIC,Capital expenditure,Government,22
2000,VIC,Capital expenditure,Government,334
2000,VIC,Capital expenditure,Other,338
2000,VIC,Community health,Government,23
2000,VIC,Community health,Government,579
2000,VIC,Community health,Other,2
2000,VIC,Community health,Other,0
2000,VIC,Dental services,Government,80
2000,VIC,Dental services,Government,96
2000,VIC,Dental services,Other,1163
2000,VIC,Dental services,Other,3
2000,VIC,Dental services,Other,123
2000,VIC,Medical expense tax rebate,Government,68
2000,VIC,Medical expense tax rebate,Other,
2000,VIC,Medical services,Government,3150
2000,VIC,Medical services,Other,387
2000,VIC,Medical services,Other,151
2000,VIC,Medical services,Other,121
2000,VIC,Other health practitioners,Government,176
2000,VIC,Other health practitioners,Other,530
2000,VIC,Other health practitioners,Other,89
2000,VIC,Other health practitioners,Other,62
2000,VIC,Patient transport services,Government,18
2000,VIC,Patient transport services,Government,144
2000,VIC,Patient transport services,Other,80
2000,VIC,Patient transport services,Other,20
2000,VIC,Patient transport services,Other,3
2000,VIC,Private hospitals,Government,570
2000,VIC,Private hospitals,Other,113
2000,VIC,Private hospitals,Other,199
2000,VIC,Private hospitals,Other,735
2000,VIC,Public health,Government,128
2000,VIC,Public health,Government,210
2000,VIC,Public health,Other,14
2000,VIC,Public hospitals,Government,2505
2000,VIC,Public hospitals,Government,2595
2000,VIC,Public hospitals,Other,199
2000,VIC,Public hospitals,Other,322
2000,VIC,Public hospitals,Other,53
2000,VIC,Research,Government,401
2000,VIC,Research,Government,127
2000,VIC,Research,Other,67
2000,QLD,Administration,Government,262
2000,QLD,Administration,Government,110
2000,QLD,Administration,Other,152
2000,QLD,Aids and appliances,Government,35
2000,QLD,Aids and appliances,Other,409
2000,QLD,Aids and appliances,Other,2
2000,QLD,Aids and appliances,Other,35
2000,QLD,All other medications,Government,19
2000,QLD,All other medications,Other,521
2000,QLD,All other medications,Other,1
2000,QLD,All other medications,Other,7
2000,QLD,Benefit,Government,781
2000,QLD,Benefit,Other,143
2000,QLD,Capital expenditure,Government,49
2000,QLD,Capital expenditure,Government,640
2000,QLD,Capital expenditure,Other,982
2000,QLD,Community health,Government,83
2000,QLD,Community health,Government,1229
2000,QLD,Community health,Other,1
2000,QLD,Community health,Other,0
2000,QLD,Dental services,Government,88
2000,QLD,Dental services,Government,155
2000,QLD,Dental services,Other,355
2000,QLD,Dental services,Other,3
2000,QLD,Dental services,Other,133
2000,QLD,Medical expense tax rebate,Government,40
2000,QLD,Medical expense tax rebate,Other,
2000,QLD,Medical services,Government,2333
2000,QLD,Medical services,Other,319
2000,QLD,Medical services,Other,71
2000,QLD,Medical services,Other,79
2000,QLD,Other health practitioners,Government,149
2000,QLD,Other health practitioners,Other,296
2000,QLD,Other health practitioners,Other,34
2000,QLD,Other health practitioners,Other,58
2000,QLD,Patient transport services,Government,23
2000,QLD,Patient transport services,Government,229
2000,QLD,Patient transport services,Other,101
2000,QLD,Patient transport services,Other,7
2000,QLD,Patient transport services,Other,4
2000,QLD,Private hospitals,Government,569
2000,QLD,Private hospitals,Other,99
2000,QLD,Private hospitals,Other,145
2000,QLD,Private hospitals,Other,570
2000,QLD,Public health,Government,110
2000,QLD,Public health,Government,122
2000,QLD,Public health,Other,12
2000,QLD,Public hospitals,Government,1883
2000,QLD,Public hospitals,Government,1830
2000,QLD,Public hospitals,Other,7
2000,QLD,Public hospitals,Other,102
2000,QLD,Public hospitals,Other,29
2000,QLD,Research,Government,182
2000,QLD,Research,Government,27
2000,QLD,Research,Other,14
2000,WA,Administration,Government,140
2000,WA,Administration,Government,122
2000,WA,Administration,Other,81
2000,WA,Aids and appliances,Government,21
2000,WA,Aids and appliances,Other,150
2000,WA,Aids and appliances,Other,6
2000,WA,Aids and appliances,Other,24
2000,WA,All other medications,Government,10
2000,WA,All other medications,Other,289
2000,WA,All other medications,Other,9
2000,WA,All other medications,Other,4
2000,WA,Benefit,Government,379
2000,WA,Benefit,Other,72
2000,WA,Capital expenditure,Government,11
2000,WA,Capital expenditure,Government,0
2000,WA,Capital expenditure,Other,103
2000,WA,Community health,Government,59
2000,WA,Community health,Government,311
2000,WA,Community health,Other,1
2000,WA,Community health,Other,0
2000,WA,Dental services,Government,63
2000,WA,Dental services,Government,64
2000,WA,Dental services,Other,311
2000,WA,Dental services,Other,2
2000,WA,Dental services,Other,109
2000,WA,Medical expense tax rebate,Government,19
2000,WA,Medical expense tax rebate,Other,
2000,WA,Medical services,Government,1156
2000,WA,Medical services,Other,142
2000,WA,Medical services,Other,93
2000,WA,Medical services,Other,52
2000,WA,Other health practitioners,Government,75
2000,WA,Other health practitioners,Other,20
2000,WA,Other health practitioners,Other,46
2000,WA,Other health practitioners,Other,42
2000,WA,Patient transport services,Government,21
2000,WA,Patient transport services,Government,39
2000,WA,Patient transport services,Other,16
2000,WA,Patient transport services,Other,6
2000,WA,Patient transport services,Other,12
2000,WA,Private hospitals,Government,239
2000,WA,Private hospitals,Other,99
2000,WA,Private hospitals,Other,131
2000,WA,Private hospitals,Other,291
2000,WA,Public health,Government,57
2000,WA,Public health,Government,90
2000,WA,Public health,Other,5
2000,WA,Public hospitals,Government,973
2000,WA,Public hospitals,Government,1119
2000,WA,Public hospitals,Other,34
2000,WA,Public hospitals,Other,56
2000,WA,Public hospitals,Other,27
2000,WA,Research,Government,120
2000,WA,Research,Government,19
2000,WA,Research,Other,11
2000,SA,Administration,Government,124
2000,SA,Administration,Government,13
2000,SA,Administration,Other,73
2000,SA,Aids and appliances,Government,16
2000,SA,Aids and appliances,Other,120
2000,SA,Aids and appliances,Other,4
2000,SA,Aids and appliances,Other,18
2000,SA,All other medications,Government,9
2000,SA,All other medications,Other,251
2000,SA,All other medications,Other,3
2000,SA,All other medications,Other,3
2000,SA,Benefit,Government,378
2000,SA,Benefit,Other,64
2000,SA,Capital expenditure,Government,11
2000,SA,Capital expenditure,Government,0
2000,SA,Capital expenditure,Other,83
2000,SA,Community health,Government,23
2000,SA,Community health,Government,243
2000,SA,Community health,Other,0
2000,SA,Community health,Other,0
2000,SA,Dental services,Government,44
2000,SA,Dental services,Government,49
2000,SA,Dental services,Other,127
2000,SA,Dental services,Other,1
2000,SA,Dental services,Other,71
2000,SA,Medical expense tax rebate,Government,13
2000,SA,Medical expense tax rebate,Other,
2000,SA,Medical services,Government,969
2000,SA,Medical services,Other,93
2000,SA,Medical services,Other,90
2000,SA,Medical services,Other,50
2000,SA,Other health practitioners,Government,66
2000,SA,Other health practitioners,Other,22
2000,SA,Other health practitioners,Other,30
2000,SA,Other health practitioners,Other,40
2000,SA,Patient transport services,Government,12
2000,SA,Patient transport services,Government,53
2000,SA,Patient transport services,Other,33
2000,SA,Patient transport services,Other,8
2000,SA,Patient transport services,Other,2
2000,SA,Private hospitals,Government,172
2000,SA,Private hospitals,Other,6
2000,SA,Private hospitals,Other,34
2000,SA,Private hospitals,Other,257
2000,SA,Public health,Government,49
2000,SA,Public health,Government,79
2000,SA,Public health,Other,5
2000,SA,Public hospitals,Government,948
2000,SA,Public hospitals,Government,852
2000,SA,Public hospitals,Other,18
2000,SA,Public hospitals,Other,17
2000,SA,Public hospitals,Other,23
2000,SA,Research,Government,137
2000,SA,Research,Government,20
2000,SA,Research,Other,7
2000,TAS,Administration,Government,40
2000,TAS,Administration,Government,24
2000,TAS,Administration,Other,22
2000,TAS,Aids and appliances,Government,5
2000,TAS,Aids and appliances,Other,52
2000,TAS,Aids and appliances,Other,2
2000,TAS,Aids and appliances,Other,6
2000,TAS,All other medications,Government,4
2000,TAS,All other medications,Other,66
2000,TAS,All other medications,Other,2
2000,TAS,All other medications,Other,1
2000,TAS,Benefit,Government,121
2000,TAS,Benefit,Other,20
2000,TAS,Capital expenditure,Government,5
2000,TAS,Capital expenditure,Government,0
2000,TAS,Capital expenditure,Other,22
2000,TAS,Community health,Government,10
2000,TAS,Community health,Government,136
2000,TAS,Community health,Other,1
2000,TAS,Community health,Other,0
2000,TAS,Dental services,Government,10
2000,TAS,Dental services,Government,14
2000,TAS,Dental services,Other,47
2000,TAS,Dental services,Other,1
2000,TAS,Dental services,Other,17
2000,TAS,Medical expense tax rebate,Government,3
2000,TAS,Medical expense tax rebate,Other,
2000,TAS,Medical services,Government,283
2000,TAS,Medical services,Other,39
2000,TAS,Medical services,Other,26
2000,TAS,Medical services,Other,9
2000,TAS,Other health practitioners,Government,20
2000,TAS,Other health practitioners,Other,16
2000,TAS,Other health practitioners,Other,17
2000,TAS,Other health practitioners,Other,7
2000,TAS,Patient transport services,Government,3
2000,TAS,Patient transport services,Government,30
2000,TAS,Patient transport services,Other,0
2000,TAS,Patient transport services,Other,1
2000,TAS,Patient transport services,Other,0
2000,TAS,Private hospitals,Government,71
2000,TAS,Private hospitals,Other,29
2000,TAS,Private hospitals,Other,18
2000,TAS,Private hospitals,Other,83
2000,TAS,Public health,Government,21
2000,TAS,Public health,Government,25
2000,TAS,Public health,Other,2
2000,TAS,Public hospitals,Government,226
2000,TAS,Public hospitals,Government,232
2000,TAS,Public hospitals,Other,9
2000,TAS,Public hospitals,Other,26
2000,TAS,Public hospitals,Other,6
2000,TAS,Research,Government,30
2000,TAS,Research,Government,6
2000,TAS,Research,Other,1
2000,ACT,Administration,Government,65
2000,ACT,Administration,Government,21
2000,ACT,Administration,Other,4
2000,ACT,Aids and appliances,Government,2
2000,ACT,Aids and appliances,Other,14
2000,ACT,Aids and appliances,Other,0
2000,ACT,Aids and appliances,Other,1
2000,ACT,All other medications,Government,2
2000,ACT,All other medications,Other,41
2000,ACT,All other medications,Other,1
2000,ACT,All other medications,Other,0
2000,ACT,Benefit,Government,55
2000,ACT,Benefit,Other,13
2000,ACT,Capital expenditure,Government,3
2000,ACT,Capital expenditure,Government,0
2000,ACT,Capital expenditure,Other,42
2000,ACT,Community health,Government,4
2000,ACT,Community health,Government,82
2000,ACT,Community health,Other,1
2000,ACT,Community health,Other,0
2000,ACT,Dental services,Government,5
2000,ACT,Dental services,Government,6
2000,ACT,Dental services,Other,69
2000,ACT,Dental services,Other,0
2000,ACT,Dental services,Other,8
2000,ACT,Medical expense tax rebate,Government,8
2000,ACT,Medical expense tax rebate,Other,
2000,ACT,Medical services,Government,200
2000,ACT,Medical services,Other,55
2000,ACT,Medical services,Other,9
2000,ACT,Medical services,Other,1
2000,ACT,Other health practitioners,Government,18
2000,ACT,Other health practitioners,Other,21
2000,ACT,Other health practitioners,Other,10
2000,ACT,Other health practitioners,Other,2
2000,ACT,Patient transport services,Government,3
2000,ACT,Patient transport services,Government,4
2000,ACT,Patient transport services,Other,0
2000,ACT,Patient transport services,Other,1
2000,ACT,Patient transport services,Other,6
2000,ACT,Private hospitals,Government,19
2000,ACT,Private hospitals,Other,15
2000,ACT,Private hospitals,Other,10
2000,ACT,Private hospitals,Other,60
2000,ACT,Public health,Government,14
2000,ACT,Public health,Government,28
2000,ACT,Public health,Other,3
2000,ACT,Public hospitals,Government,145
2000,ACT,Public hospitals,Government,213
2000,ACT,Public hospitals,Other,9
2000,ACT,Public hospitals,Other,13
2000,ACT,Public hospitals,Other,10
2000,ACT,Research,Government,96
2000,ACT,Research,Government,16
2000,ACT,Research,Other,5
2000,NT,Administration,Government,25
2000,NT,Administration,Government,46
2000,NT,Administration,Other,5
2000,NT,Aids and appliances,Government,2
2000,NT,Aids and appliances,Other,11
2000,NT,Aids and appliances,Other,3
2000,NT,Aids and appliances,Other,1
2000,NT,All other medications,Government,2
2000,NT,All other medications,Other,17
2000,NT,All other medications,Other,1
2000,NT,All other medications,Other,0
2000,NT,Benefit,Government,14
2000,NT,Benefit,Other,4
2000,NT,Capital expenditure,Government,4
2000,NT,Capital expenditure,Government,1
2000,NT,Capital expenditure,Other,7
2000,NT,Community health,Government,54
2000,NT,Community health,Government,137
2000,NT,Community health,Other,0
2000,NT,Community health,Other,0
2000,NT,Dental services,Government,2
2000,NT,Dental services,Government,9
2000,NT,Dental services,Other,30
2000,NT,Dental services,Other,0
2000,NT,Dental services,Other,4
2000,NT,Medical expense tax rebate,Government,1
2000,NT,Medical expense tax rebate,Other,
2000,NT,Medical services,Government,64
2000,NT,Medical services,Other,10
2000,NT,Medical services,Other,8
2000,NT,Medical services,Other,2
2000,NT,Other health practitioners,Government,6
2000,NT,Other health practitioners,Other,12
2000,NT,Other health practitioners,Other,3
2000,NT,Other health practitioners,Other,2
2000,NT,Patient transport services,Government,2
2000,NT,Patient transport services,Government,27
2000,NT,Patient transport services,Other,1
2000,NT,Patient transport services,Other,1
2000,NT,Patient transport services,Other,0
2000,NT,Private hospitals,Government,7
2000,NT,Private hospitals,Other,8
2000,NT,Private hospitals,Other,5
2000,NT,Private hospitals,Other,13
2000,NT,Public health,Government,14
2000,NT,Public health,Government,47
2000,NT,Public health,Other,3
2000,NT,Public hospitals,Government,103
2000,NT,Public hospitals,Government,165
2000,NT,Public hospitals,Other,12
2000,NT,Public hospitals,Other,15
2000,NT,Public hospitals,Other,1
2000,NT,Research,Government,13
2000,NT,Research,Government,4
2000,NT,Research,Other,1
2001,NSW,Administration,Government,449
2001,NSW,Administration,Government,14
2001,NSW,Administration,Other,285
2001,NSW,Aids and appliances,Government,76
2001,NSW,Aids and appliances,Government,17
2001,NSW,Aids and appliances,Other,347
2001,NSW,Aids and appliances,Other,27
2001,NSW,Aids and appliances,Other,95
2001,NSW,All other medications,Government,27
2001,NSW,All other medications,Other,1058
2001,NSW,All other medications,Other,46
2001,NSW,All other medications,Other,21
2001,NSW,Benefit,Government,1689
2001,NSW,Benefit,Other,301
2001,NSW,Capital expenditure,Government,20
2001,NSW,Capital expenditure,Government,516
2001,NSW,Capital expenditure,Other,458
2001,NSW,Community health,Government,84
2001,NSW,Community health,Government,1355
2001,NSW,Community health,Other,5
2001,NSW,Community health,Other,0
2001,NSW,Dental services,Government,182
2001,NSW,Dental services,Government,111
2001,NSW,Dental services,Other,1259
2001,NSW,Dental services,Other,7
2001,NSW,Dental services,Other,356
2001,NSW,Medical expense tax rebate,Government,125
2001,NSW,Medical expense tax rebate,Other,
2001,NSW,Medical services,Government,4632
2001,NSW,Medical services,Other,658
2001,NSW,Medical services,Other,451
2001,NSW,Medical services,Other,163
2001,NSW,Other health practitioners,Government,267
2001,NSW,Other health practitioners,Other,496
2001,NSW,Other health practitioners,Other,145
2001,NSW,Other health practitioners,Other,142
2001,NSW,Patient transport services,Government,65
2001,NSW,Patient transport services,Government,228
2001,NSW,Patient transport services,Other,17
2001,NSW,Patient transport services,Other,26
2001,NSW,Patient transport services,Other,88
2001,NSW,Private hospitals,Government,689
2001,NSW,Private hospitals,Other,44
2001,NSW,Private hospitals,Other,214
2001,NSW,Private hospitals,Other,970
2001,NSW,Public health,Government,263
2001,NSW,Public health,Government,184
2001,NSW,Public health,Other,26
2001,NSW,Public hospitals,Government,3804
2001,NSW,Public hospitals,Government,3862
2001,NSW,Public hospitals,Other,252
2001,NSW,Public hospitals,Other,363
2001,NSW,Public hospitals,Other,196
2001,NSW,Research,Government,391
2001,NSW,Research,Government,58
2001,NSW,Research,Other,45
2001,VIC,Administration,Government,302
2001,VIC,Administration,Government,1
2001,VIC,Administration,Other,201
2001,VIC,Aids and appliances,Government,43
2001,VIC,Aids and appliances,Government,23
2001,VIC,Aids and appliances,Other,453
2001,VIC,Aids and appliances,Other,12
2001,VIC,Aids and appliances,Other,39
2001,VIC,All other medications,Government,16
2001,VIC,All other medications,Other,892
2001,VIC,All other medications,Other,21
2001,VIC,All other medications,Other,5
2001,VIC,Benefit,Government,1182
2001,VIC,Benefit,Other,212
2001,VIC,Capital expenditure,Government,18
2001,VIC,Capital expenditure,Government,367
2001,VIC,Capital expenditure,Other,680
2001,VIC,Community health,Government,25
2001,VIC,Community health,Government,784
2001,VIC,Community health,Other,4
2001,VIC,Community health,Other,0
2001,VIC,Dental services,Government,85
2001,VIC,Dental services,Government,135
2001,VIC,Dental services,Other,1311
2001,VIC,Dental services,Other,3
2001,VIC,Dental services,Other,156
2001,VIC,Medical expense tax rebate,Government,76
2001,VIC,Medical expense tax rebate,Other,
2001,VIC,Medical services,Government,3172
2001,VIC,Medical services,Other,395
2001,VIC,Medical services,Other,158
2001,VIC,Medical services,Other,164
2001,VIC,Other health practitioners,Government,176
2001,VIC,Other health practitioners,Other,566
2001,VIC,Other health practitioners,Other,80
2001,VIC,Other health practitioners,Other,77
2001,VIC,Patient transport services,Government,21
2001,VIC,Patient transport services,Government,142
2001,VIC,Patient transport services,Other,93
2001,VIC,Patient transport services,Other,26
2001,VIC,Patient transport services,Other,4
2001,VIC,Private hospitals,Government,582
2001,VIC,Private hospitals,Other,114
2001,VIC,Private hospitals,Other,179
2001,VIC,Private hospitals,Other,862
2001,VIC,Public health,Government,171
2001,VIC,Public health,Government,175
2001,VIC,Public health,Other,17
2001,VIC,Public hospitals,Government,2595
2001,VIC,Public hospitals,Government,2918
2001,VIC,Public hospitals,Other,169
2001,VIC,Public hospitals,Other,391
2001,VIC,Public hospitals,Other,73
2001,VIC,Research,Government,448
2001,VIC,Research,Government,129
2001,VIC,Research,Other,68
2001,QLD,Administration,Government,251
2001,QLD,Administration,Government,98
2001,QLD,Administration,Other,145
2001,QLD,Aids and appliances,Government,40
2001,QLD,Aids and appliances,Government,0
2001,QLD,Aids and appliances,Other,273
2001,QLD,Aids and appliances,Other,2
2001,QLD,Aids and appliances,Other,46
2001,QLD,All other medications,Government,16
2001,QLD,All other medications,Other,602
2001,QLD,All other medications,Other,4
2001,QLD,All other medications,Other,9
2001,QLD,Benefit,Government,863
2001,QLD,Benefit,Other,155
2001,QLD,Capital expenditure,Government,14
2001,QLD,Capital expenditure,Government,548
2001,QLD,Capital expenditure,Other,775
2001,QLD,Community health,Government,89
2001,QLD,Community health,Government,1027
2001,QLD,Community health,Other,1
2001,QLD,Community health,Other,0
2001,QLD,Dental services,Government,96
2001,QLD,Dental services,Government,156
2001,QLD,Dental services,Other,364
2001,QLD,Dental services,Other,3
2001,QLD,Dental services,Other,174
2001,QLD,Medical expense tax rebate,Government,45
2001,QLD,Medical expense tax rebate,Other,
2001,QLD,Medical services,Government,2327
2001,QLD,Medical services,Other,318
2001,QLD,Medical services,Other,82
2001,QLD,Medical services,Other,118
2001,QLD,Other health practitioners,Government,153
2001,QLD,Other health practitioners,Other,271
2001,QLD,Other health practitioners,Other,37
2001,QLD,Other health practitioners,Other,78
2001,QLD,Patient transport services,Government,28
2001,QLD,Patient transport services,Government,250
2001,QLD,Patient transport services,Other,92
2001,QLD,Patient transport services,Other,11
2001,QLD,Patient transport services,Other,6
2001,QLD,Private hospitals,Government,624
2001,QLD,Private hospitals,Other,108
2001,QLD,Private hospitals,Other,121
2001,QLD,Private hospitals,Other,709
2001,QLD,Public health,Government,136
2001,QLD,Public health,Government,115
2001,QLD,Public health,Other,15
2001,QLD,Public hospitals,Government,1956
2001,QLD,Public hospitals,Government,1914
2001,QLD,Public hospitals,Other,30
2001,QLD,Public hospitals,Other,91
2001,QLD,Public hospitals,Other,33
2001,QLD,Research,Government,191
2001,QLD,Research,Government,27
2001,QLD,Research,Other,16
2001,WA,Administration,Government,132
2001,WA,Administration,Government,129
2001,WA,Administration,Other,80
2001,WA,Aids and appliances,Government,22
2001,WA,Aids and appliances,Other,200
2001,WA,Aids and appliances,Other,5
2001,WA,Aids and appliances,Other,28
2001,WA,All other medications,Government,8
2001,WA,All other medications,Other,386
2001,WA,All other medications,Other,8
2001,WA,All other medications,Other,5
2001,WA,Benefit,Government,408
2001,WA,Benefit,Other,78
2001,WA,Capital expenditure,Government,10
2001,WA,Capital expenditure,Government,105
2001,WA,Capital expenditure,Other,240
2001,WA,Community health,Government,62
2001,WA,Community health,Government,181
2001,WA,Community health,Other,1
2001,WA,Community health,Other,0
2001,WA,Dental services,Government,60
2001,WA,Dental services,Government,64
2001,WA,Dental services,Other,365
2001,WA,Dental services,Other,1
2001,WA,Dental services,Other,121
2001,WA,Medical expense tax rebate,Government,22
2001,WA,Medical expense tax rebate,Other,
2001,WA,Medical services,Government,1192
2001,WA,Medical services,Other,152
2001,WA,Medical services,Other,77
2001,WA,Medical services,Other,68
2001,WA,Other health practitioners,Government,77
2001,WA,Other health practitioners,Other,46
2001,WA,Other health practitioners,Other,37
2001,WA,Other health practitioners,Other,49
2001,WA,Patient transport services,Government,20
2001,WA,Patient transport services,Government,14
2001,WA,Patient transport services,Other,47
2001,WA,Patient transport services,Other,6
2001,WA,Patient transport services,Other,14
2001,WA,Private hospitals,Government,247
2001,WA,Private hospitals,Other,87
2001,WA,Private hospitals,Other,71
2001,WA,Private hospitals,Other,363
2001,WA,Public health,Government,73
2001,WA,Public health,Government,84
2001,WA,Public health,Other,6
2001,WA,Public hospitals,Government,1067
2001,WA,Public hospitals,Government,1115
2001,WA,Public hospitals,Other,17
2001,WA,Public hospitals,Other,76
2001,WA,Public hospitals,Other,31
2001,WA,Research,Government,123
2001,WA,Research,Government,18
2001,WA,Research,Other,13
2001,SA,Administration,Government,117
2001,SA,Administration,Government,45
2001,SA,Administration,Other,80
2001,SA,Aids and appliances,Government,18
2001,SA,Aids and appliances,Other,124
2001,SA,Aids and appliances,Other,5
2001,SA,Aids and appliances,Other,22
2001,SA,All other medications,Government,7
2001,SA,All other medications,Other,288
2001,SA,All other medications,Other,4
2001,SA,All other medications,Other,3
2001,SA,Benefit,Government,399
2001,SA,Benefit,Other,69
2001,SA,Capital expenditure,Government,10
2001,SA,Capital expenditure,Government,112
2001,SA,Capital expenditure,Other,175
2001,SA,Community health,Government,25
2001,SA,Community health,Government,155
2001,SA,Community health,Other,0
2001,SA,Community health,Other,0
2001,SA,Dental services,Government,46
2001,SA,Dental services,Government,52
2001,SA,Dental services,Other,140
2001,SA,Dental services,Other,1
2001,SA,Dental services,Other,89
2001,SA,Medical expense tax rebate,Government,15
2001,SA,Medical expense tax rebate,Other,
2001,SA,Medical services,Government,982
2001,SA,Medical services,Other,96
2001,SA,Medical services,Other,95
2001,SA,Medical services,Other,63
2001,SA,Other health practitioners,Government,66
2001,SA,Other health practitioners,Other,37
2001,SA,Other health practitioners,Other,29
2001,SA,Other health practitioners,Other,48
2001,SA,Patient transport services,Government,13
2001,SA,Patient transport services,Government,56
2001,SA,Patient transport services,Other,26
2001,SA,Patient transport services,Other,8
2001,SA,Patient transport services,Other,2
2001,SA,Private hospitals,Government,179
2001,SA,Private hospitals,Other,5
2001,SA,Private hospitals,Other,27
2001,SA,Private hospitals,Other,305
2001,SA,Public health,Government,70
2001,SA,Public health,Government,61
2001,SA,Public health,Other,6
2001,SA,Public hospitals,Government,953
2001,SA,Public hospitals,Government,906
2001,SA,Public hospitals,Other,7
2001,SA,Public hospitals,Other,30
2001,SA,Public hospitals,Other,31
2001,SA,Research,Government,136
2001,SA,Research,Government,17
2001,SA,Research,Other,8
2001,TAS,Administration,Government,40
2001,TAS,Administration,Government,78
2001,TAS,Administration,Other,21
2001,TAS,Aids and appliances,Government,6
2001,TAS,Aids and appliances,Other,32
2001,TAS,Aids and appliances,Other,2
2001,TAS,Aids and appliances,Other,8
2001,TAS,All other medications,Government,4
2001,TAS,All other medications,Other,82
2001,TAS,All other medications,Other,2
2001,TAS,All other medications,Other,2
2001,TAS,Benefit,Government,132
2001,TAS,Benefit,Other,22
2001,TAS,Capital expenditure,Government,5
2001,TAS,Capital expenditure,Government,17
2001,TAS,Capital expenditure,Other,24
2001,TAS,Community health,Government,11
2001,TAS,Community health,Government,270
2001,TAS,Community health,Other,1
2001,TAS,Community health,Other,0
2001,TAS,Dental services,Government,11
2001,TAS,Dental services,Government,14
2001,TAS,Dental services,Other,52
2001,TAS,Dental services,Other,0
2001,TAS,Dental services,Other,22
2001,TAS,Medical expense tax rebate,Government,4
2001,TAS,Medical expense tax rebate,Other,
